,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,12.0,"利用規約同意
Đồng ý điều khoản","利用規約への同意チェック
Checkbox đồng ý điều khoản",チェックボックス,-,"チェック時のみ登録可能
未チェック時エラー表示
Chỉ cho đăng ký khi tick
Không tick thì báo lỗi","必須チェック
Bắt buộc tick",,,,,,
,,,,,,,,,,,,,,,,,13.0,"登録ボタン
Nút đăng ký","アカウントを登録する
Thực hiện đăng ký",ボタン,-,"入力チェックを行う
問題なければAPI送信
成功時次画面へ遷移
Kiểm tra dữ liệu
Nếu hợp lệ thì gọi API
Thành công thì chuyển màn",-,,,,,,
,,,,,,,,,,,,,,,,,14.0,"ログインリンク
Link đăng nhập","ログイン画面へ遷移する
Chuyển tới màn đăng nhập",リンク,-,"押下時ログイン画面へ遷移
Nhấn → chuyển màn login","未登録ユーザー向け導線
Dành cho user chưa có tài khoản",,,,,,
,,,,,,,,,,,,,,,,,15.0,"言語切り替えトグル
Nút chuyển ngôn ngữ","システムの表示言語を変更
Thay đổi ngôn ngữ hiển thị của hệ thống (nằm cạnh Logo)",トグルボタン,"JP / VN
(Tiếng Nhật / Tiếng Việt)","クリック時、選択された言語にシステム全体のテキスト表記を切り替える。状態をローカルストレージに保持する。
Khi click, cập nhật toàn bộ text trên hệ thống theo ngôn ngữ được chọn. Lưu trạng thái này vào Local Storage/Session.","デフォルトは「JP」
Mặc định là ""JP""",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,画面ID,,14.0,,画面タイトル,,"クーポン管理画面  
(Màn hình Quản lý mã giảm giá)",,,,,,ロールID,,2.0,,画面項目,,,,,,,,,,,,
,画面レイアウト・デザイン,,,,,,,,,,,,,,,,No,項目名称,項目説明,分類,選択肢・入力値,処理内容,備考,,,,,,
,,,,,,,,,,,,,,,,,1.0,"Logo header
ロゴ","ヘッダー部分に表示するシステムロゴ
 Logo hiển thị ở header",画像,-,"
画面初期表示時にロゴを表示。クリック時ホーム画面へ遷移。画像取得失敗時は代替画像表示。                                                            Khi load màn hình hiển thị logo, click về Home, lỗi ảnh → ảnh default
","すべてのデザイン情報：Link
Mọi thông tin Design: Link",,,,,,
,,,,,,,,,,,,,,,,,2.0,"ダッシュボード
Dashboard","ダッシュボード画面へ遷移するためのボタン
Nút chuyển tới màn hình dashboard",ボタン,"クリック
Nhấn","押下時ダッシュボード画面へ遷移する 未保存データがある場合確認を行う
Khi nhấn chuyển tới màn hình dashboard Nếu có dữ liệu chưa lưu thì hiển thị xác nhận","備考
ヘッダーに常時表示 ログインユーザーのみ利用可能
Luôn hiển thị trên header Chỉ dùng khi đã đăng nhập",,,,,,
,,,,,,,,,,,,,,,,,3.0,"店舗編集ボタン
Nút sửa quán","舗情報編集画面へ遷移するボタン
Nút chuyển tới màn chỉnh sửa thông tin nhà hàng",ボタン,"クリック
Nhấn","押下時店舗編集画面へ遷移する
ログインユーザーが対象店舗の管理者である場合のみ遷移可能とする
権限がない場合はエラーメッセージを表示する
Nhấn để chuyển tới màn chỉnh sửa nhà hàng
Chỉ cho phép nếu user là quản lý của quán
Nếu không có quyền thì hiển thị lỗi",-,,,,,,
,,,,,,,,,,,,,,,,,4.0,"キャンペーン
Khuyến mãi","キャンペーン一覧画面へ遷移するボタン
Nút chuyển tới màn danh sách khuyến mãi",ボタン,"クリック
Nhấn","押下時キャンペーン一覧画面へ遷移する 未保存データがある場合確認を行う
Khi nhấn chuyển tới màn danh sách khuyến mãi Nếu có dữ liệu chưa lưu thì hiển thị xác nhận",-,,,,,,
,,,,,,,,,,,,,,,,,5.0,"ログアウト
Đăng xuất","ログアウト処理を行うボタン
Nút thực hiện đăng xuất",ボタン,"クリック
Nhấn","処理内容
押下時セッションを削除しログイン画面へ遷移する
Khi nhấn xóa session và chuyển về màn hình đăng nhập",-,,,,,,
,,,,,,,,,,,,,,,,,6.0,"キャンペーン管理
Quản lý khuyến mãi","キャンペーン管理画面のタイトルを表示する
Hiển thị tiêu đề màn hình quản lý khuyến mãi",テキスト,-,"画面表示時にタイトルを表示する
Khi load màn hình thì hiển thị tiêu đề","画面上部に固定表示
Hiển thị cố định phía trên",,,,,,
,,,,,,,,,,,,,,,,,7.0,"作成したキャンペーンの管理と分析
Quản lý và phân tích các khuyến mãi đã tạo","実行中のキャンペーン数を表示する
Hiển thị số khuyến mãi đang hoạt động",テキスト,"固定テキスト
Nội dung cố định","表示のみ
Chỉ hiển thị
タイトルの下に表示
Hiển thị dưới tiêu đề",-,,,,,,
,,,,,,,,,,,,,,,,,8.0,"新規作成
Tạo mới","新しいキャンペーンを作成する
Tạo chương trình khuyến mãi mới",ボタン,-,"作成画面へ遷移する
Chuyển sang màn hình tạo
右上・緑色ボタン
Góc phải, màu xanh","作成画面へ遷移する
Chuyển sang màn hình tạo",,,,,,
,,,,,,,,,,,,,,,,,9.0,"総数
Tổng số","キャンペーンの総数を表示する
Hiển thị tổng số khuyến mãi",ラベル,-,"データを集計して表示する
Hiển thị dữ liệu tổng hợp","カード形式
Dạng card",,,,,,
,,,,,,,,,,,,,,,,,10.0,"実施中
Đang chạy","実行中のキャンペーン数を表示する
Hiển thị số khuyến mãi đang hoạt động",ラベル,-,"ステータスが有効のデータをカウント
Đếm các khuyến mãi đang hoạt động","緑色表示
Màu xanh",,,,,,
,,,,,,,,,,,,,,,,,11.0,"一時停止
Tạm dừng","停止中のキャンペーン数を表示する
Hiển thị số khuyến mãi đang tạm dừng",ラベル,-,"停止中のキャンペーン数を表示する
Hiển thị số khuyến mãi đang tạm dừng","黄色表示
Màu vàng",,,,,,
,,,,,,,,,,,,,,,,,12.0,"総閲覧数
Tổng lượt xem","全キャンペーンの閲覧数を表示する
Hiển thị tổng lượt xem",ラベル,-,"全データを合計する
Cộng toàn bộ dữ liệu","アイコン付き
Có icon",,,,,,
,,,,,,,,,,,,,,,,,13.0,"総利用数
Tổng lượt dùng","全キャンペーンの利用数を表示する
Hiển thị tổng lượt sử dụng",ラベル,-,"全データを合計する
Cộng toàn bộ dữ liệu sử dụng","アイコン付き
Có icon",,,,,,
,,,,,,,,,,,,,,,,,14.0,"クーポンカード
Thẻ mã giảm giá","クーポン情報をカード形式で表示する
Hiển thị thông tin mã giảm giá dạng thẻ",カード,-,"コード、割引値、期間、利用数
Mã, giá trị giảm, thời gian, lượt dùng","データをカード形式で一覧表示する
Hiển thị dữ liệu dạng card
キャンペーン一覧の一部として表示
Hiển thị trong danh sách khuyến mãi",,,,,,
,,,,,,,,,,,,,,,,,15.0,"キャンペーン名
Tên khuyến mãi","これはキャンペーンのメインタイトルであり、最も重要な識別情報である。
Đây là tiêu đề chính của chương trình và là thông tin nhận diện quan trọng nhất.",テキスト,-,"これはキャンペーンのメインタイトルであり、最も重要な識別情報である。
Đây là tiêu đề chính của chương trình và là thông tin nhận diện quan trọng nhất.",-,,,,,,
,,,,,,,,,,,,,,,,,16.0,"サブタイトル 
Tên phụ","これはベトナム語側の補足名称として表示されている。
Đây là tên bổ sung bằng tiếng Việt.

",テキスト,-,"日本語タイトルの下に配置されており、多言語対応UIであることが分かる。
Nó được đặt ngay dưới tên tiếng Nhật, cho thấy đây là giao diện hỗ trợ song ngữ.",-,,,,,,
,,,,,,,,,,,,,,,,,17.0,"説明文
 Mô tả","説明文は、このキャンペーンの目的や訴求内容を短く示している。
Phần mô tả cho biết ngắn gọn mục đích và nội dung hấp dẫn của chương trình.",テキスト,-,"ユーザー向け表示でも、そのキャンペーンが何のためのものか伝わりやすい。
Nếu hiển thị cho người dùng cuối, phần này cũng giúp họ biết chương trình áp dụng cho việc gì",-,,,,,,
,,,,,,,,,,,,,,,,,18.0,"ステータスバッジ
Nhãn trạng thái","キャンペーンの状態（実施中・一時停止・終了）を表示する
Hiển thị trạng thái của khuyến mãi (đang chạy, tạm dừng, đã kết thúc)",ラベル,-,"""実施中 / 一時停止 / 終了
Đang chạy / Tạm dừng / Hết hạn","カード右上に表示・色付きバッジ
Hiển thị góc phải trên của card, dạng badge màu",,,,,,
,,,,,,,,,,,,,,,,,19.0,"Loại khuyến mãi

クーポン","キャンペーンの種類（クーポンまたは割引）を表示する
Hiển thị loại của khuyến mãi (coupon hoặc giảm giá)",ラベル,-,"設定されたキャンペーンタイプをそのまま表示する
Hiển thị loại khuyến mãi đã được thiết lập",-,,,,,,
,,,,,,,,,,,,,,,,,20.0,"割引値
Giá trị giảm","割引率または金額を表示する
Hiển thị giá trị giảm theo phần trăm hoặc số tiền",ラベル,-,"％ / 金額
% / số tiền
設定された割引内容を表示する
Hiển thị nội dung giảm giá đã được cài đặt",-,,,,,,
,,,,,,,,,,,,,,,,,21.0,"コード
  Mã coupon
Mã giảm giá","クーポンの識別コードを表示する
Hiển thị mã nhận diện của coupon",ラベル,-,"コードを表示し、コピーアイコン押下時はクリップボードにコピーする
Hiển thị mã, khi nhấn icon copy thì sao chép vào bộ nhớ tạm","キャンペーンタイプがクーポンかつステータスが有効または一時停止の場合のみ表示する
Chỉ hiển thị khi là coupon và trạng thái là đang chạy hoặc tạm dừng",,,,,,
,,,,,,,,,,,,,,,,,22.0,"期間 
Thời gian áp dụng","キャンペーンの有効期間を表示する
Hiển thị thời gian hiệu lực của khuyến mãi",ラベル,-,"開始日 - 終了日
Ngày bắt đầu - ngày kết thúc","全てのキャンペーンで表示
Hiển thị cho tất cả khuyến mãi",,,,,,
,,,,,,,,,,,,,,,,,23.0,"利用数 
 Lượt dùng","クーポンの使用回数と上限を表示する
Hiển thị số lượt sử dụng và giới hạn",ラベル,-,"クーポンタイプの場合のみ表示する
Chỉ hiển thị với coupon
割引タイプでは非表示
Ẩn với giảm giá thường",-,,,,,,
,,,,,,,,,,,,,,,,,24.0,"利用進捗バー
 Thanh tiến độ sử dụng","クーポンの利用進捗を視覚的に表示する
Hiển thị tiến độ sử dụng của coupon",ラベル,-,"利用数がある場合のみ表示
Chỉ hiển thị khi có dữ liệu sử dụng",-,,,,,,
,,,,,,,,,,,,,,,,,25.0,"閲覧数 
 Lượt xem","キャンペーンの閲覧回数を表示する
Hiển thị số lượt xem",ラベル,-,"全キャンペーンで表示する
Hiển thị cho tất cả khuyến mãi",-,,,,,,
,,,,,,,,,,,,,,,,,26.0,"編集ボタン
Nút sửa","キャンペーン内容を編集する
Chỉnh sửa khuyến mãi",ボタン,-,"押下時編集画面へ遷移する
Chuyển sang màn hình chỉnh sửa","全状態で表示可能
Hiển thị voi mọi trạng thái",,,,,,
,,,,,,,,,,,,,,,,,27.0,"再開ボタン
Nút tiếp tục","キャンペーンの状態を切り替える
Chuyển đổi trạng thái khuyến mãi",ボタン,-,"ステータスが実施中の場合：一時停止ボタンを表示
Nếu đang chạy → hiển thị nút tạm dừng
ステータスが一時停止の場合：再開ボタンを表示
Nếu tạm dừng → hiển thị nút tiếp tục
ステータスが終了の場合：非表示
Nếu hết hạn → không hiển thị",-,,,,,,
,,,,,,,,,,,,,,,,,28.0,"削除ボタン
Nút xóa","キャンペーンを削除する
Xóa khuyến mãi",ボタン,-,"キャンペーンを削除する
Xóa khuyến mãi","全状態で表示可能
Hiển thị voi mọi trạng thái",,,,,,
,,,,,,,,,,,,,,,,,29.0,"言語切り替えトグル
Nút chuyển ngôn ngữ","システムの表示言語を変更
Thay đổi ngôn ngữ hiển thị của hệ thống (nằm cạnh Logo)",トグルボタン,"JP / VN
(Tiếng Nhật / Tiếng Việt)","クリック時、選択された言語にシステム全体のテキスト表記を切り替える。状態をローカルストレージに保持する。
Khi click, cập nhật toàn bộ text trên hệ thống theo ngôn ngữ được chọn. Lưu trạng thái này vào Local Storage/Session.","デフォルトは「JP」
Mặc định là ""JP""",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,画面ID,,15.0,,画面タイトル,,"店舗詳細情報画面
(Màn hình Chi tiết thông tin nhà hàng)",,,,,,ロールID,,"1, 3",,画面項目,,,,,,,,,,,,
,画面レイアウト・デザイン,,,,,,,,,,,,,,,,No,項目名称,項目説明,分類,選択肢・入力値,処理内容,備考,,,,,,
,,,,,,,,,,,,,,,,,1.0,"ヘッダーロゴ
Logo Header","サイト左上の「JVDine」ロゴ
Logo ""JVDine"" ở góc trên bên trái trang web",画像,-,"
画面初期表示時にロゴを表示。クリック時ホーム画面へ遷移。画像取得失敗時は代替画像表示。                                                            Khi load màn hình hiển thị logo, click về Home, lỗi ảnh → ảnh default
","すべてのデザイン情報：Link
Mọi thông tin Design: Link",,,,,,
,,,,,,,,,,,,,,,,,2.0,"ログインリンク
Link Đăng nhập","ヘッダー右側の「ログイン / Đăng nhập」リンク
Dòng chữ ""ログイン / Đăng nhập"" ở bên phải header",ボタン,-,"クリック時、「ログイン画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng nhập"".","ログインしていない場合、「ログイン」ボタンを表示する。ログイン後は「プロフィール」に変更され、ユーザーの個人情報画面へ遷移する。
Hiển thị nút ""Đăng nhập"" khi chưa đăng nhập. Sau khi đăng nhập, nút sẽ chuyển thành ""Hồ sơ cá nhân"" và dẫn đến màn hình thông tin cá nhân.",,,,,,
,,,,,,,,,,,,,,,,,3.0,"登録ボタン
Nút Đăng ký","ヘッダー右端の赤い「登録 / Đăng ký」ボタン
Nút màu đỏ ""登録 / Đăng ký"" ở góc phải ngoài cùng header",ボタン,-,"クリック時、「サインアップ画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng ký"".","ログインしていない場合、「登録」ボタンを表示する。ログイン後は「ログアウト」に変更される。
Hiển thị nút ""Đăng ký"" khi chưa đăng nhập. Sau khi đăng nhập, nút sẽ chuyển thành ""Đăng xuất"".",,,,,,
,,,,,,,,,,,,,,,,,4.0,"カバー画像
Ảnh bìa","レストランの大きな写真
Ảnh lớn đại diện cho nhà hàng (bát phở)",画像,-,-,-,,,,,,
,,,,,,,,,,,,,,,,,5.0,"お気に入りボタン
Nút Yêu thích","画像右上のハートアイコン
Biểu tượng trái tim ở góc trên bên phải ảnh",ボタン,-,"クリック時、お気に入りリストに追加・削除する。
Khi nhấp vào, thêm/xóa khỏi danh sách yêu thích.","要ログイン
Yêu cầu đăng nhập",,,,,,
,,,,,,,,,,,,,,,,,6.0,"レストラン名と説明
Tên & Mô tả","「ハノイフォー」などのタイトルと説明文
Tên nhà hàng ""Phở Hà Nội"" và đoạn mô tả",ラベル,-,-,-,,,,,,
,,,,,,,,,,,,,,,,,7.0,"評価バッジ
Huy hiệu đánh giá","星マークと点数「4.5 (128件)」
Biểu tượng sao và điểm số ""4.5 (128件)""",ラベル,-,"クリック時、「レビュー」タブへスクロールし切り替える。
Khi nhấp vào, cuộn xuống và chuyển sang tab ""Đánh giá"".",-,,,,,,
,,,,,,,,,,,,,,,,,8.0,"店舗基本情報
Thông tin cơ bản","住所、電話番号、営業時間、価格帯
Địa chỉ, sđt, giờ mở cửa, khoảng giá",ラベル,-,-,"アイコン付き
Có kèm icon minh họa",,,,,,
,,,,,,,,,,,,,,,,,9.0,"レビュー記入ボタン
Nút Viết đánh giá","赤い「Write a Review」ボタン
Nút màu đỏ ""Write a Review""",ボタン,-,"クリック時、「レビュー投稿モーダル」をポップアップ表示する。未ログイン時はログインへ誘導。
Khi nhấp, hiển thị popup/modal form viết đánh giá. Yêu cầu đăng nhập.","要ログイン
Yêu cầu đăng nhập",,,,,,
,,,,,,,,,,,,,,,,,10.0,"タブナビゲーション
Thanh điều hướng Tab","メニュー、レビュー、詳細情報の切り替えタブ
Các tab Menu, Đánh giá, Thông tin chi tiết",タブ,"選択肢：メニュー、レビュー、詳細情報
Lựa chọn: Menu, Đánh giá, Chi tiết","クリック時、対応する下部のコンテンツエリアを表示する。
Khi nhấp vào, hiển thị nội dung tương ứng ở bên dưới.","アクティブなタブは赤線で強調
Tab đang chọn được gạch chân đỏ",,,,,,
,,,,,,,,,,,,,,,,,11.0,"店舗情報エリア
Khung thông tin quán","店舗の説明文、設備、住所、営業時間などをまとめた紹介枠
Khung tổng hợp thông tin giới thiệu quán bao gồm: Mô tả, tiện ích, địa chỉ, giờ mở cửa...",コンテンツ枠,-,"画面ロード時、DBから店舗の詳細情報を一括取得して表示する。
Khi tải trang, lấy toàn bộ thông tin chi tiết của quán từ DB và hiển thị vào khung.",-,,,,,,
,,,,,,,,,,,,,,,,,12.0,"言語切り替えトグル
Nút chuyển ngôn ngữ","システムの表示言語を変更
Thay đổi ngôn ngữ hiển thị của hệ thống (nằm cạnh Logo)",トグルボタン,"JP / VN
(Tiếng Nhật / Tiếng Việt)","クリック時、選択された言語にシステム全体のテキスト表記を切り替える。状態をローカルストレージに保持する。
Khi click, cập nhật toàn bộ text trên hệ thống theo ngôn ngữ được chọn. Lưu trạng thái này vào Local Storage/Session.","デフォルトは「JP」
Mặc định là ""JP""",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,画面ID,,16.0,,画面タイトル,,"レビュー閲覧画面
(Màn hình Xem đánh giá)",,,,,,ロールID,,"1, 3",,画面項目,,,,,,,,,,,,
,画面レイアウト・デザイン,,,,,,,,,,,,,,,,No,項目名称,項目説明,分類,選択肢・入力値,処理内容,備考,,,,,,
,,,,,,,,,,,,,,,,,1.0,"ヘッダーロゴ
Logo Header","サイト左上の「JVDine」ロゴ
Logo ""JVDine"" ở góc trên bên trái trang web",画像,-,"クリック時、ホームページへ遷移する。
Khi nhấp vào, chuyển hướng về trang chủ.","ロゴURL：Link
URL của logo: Link",,,,,,
,,,,,,,,,,,,,,,,,2.0,"ログインリンク
Link Đăng nhập","ヘッダー右側の「ログイン / Đăng nhập」リンク
Dòng chữ ""ログイン / Đăng nhập"" ở bên phải header",ボタン,-,"クリック時、「ログイン画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng nhập"".","ログインしていない場合、「ログイン」ボタンを表示する。ログイン後は「プロフィール」に変更され、ユーザーの個人情報画面へ遷移する。
Hiển thị nút ""Đăng nhập"" khi chưa đăng nhập. Sau khi đăng nhập, nút sẽ chuyển thành ""Hồ sơ cá nhân"" và dẫn đến màn hình thông tin cá nhân.",,,,,,
,,,,,,,,,,,,,,,,,3.0,"登録ボタン
Nút Đăng ký","ヘッダー右端の赤い「登録 / Đăng ký」ボタン
Nút màu đỏ ""登録 / Đăng ký"" ở góc phải ngoài cùng header",ボタン,-,"クリック時、「サインアップ画面」へ遷移する。
Khi nhấp vào, sẽ chuyển hướng đến ""Màn hình đăng ký"".","ログインしていない場合、「登録」ボタンを表示する。ログイン後は「ログアウト」に変更される。
Hiển thị nút ""Đăng ký"" khi chưa đăng nhập. Sau khi đăng nhập, nút sẽ chuyển thành ""Đăng xuất"".",,,,,,
,,,,,,,,,,,,,,,,,4.0,"カバー画像
Ảnh bìa","レストランの大きな写真
Ảnh lớn đại diện cho nhà hàng (bát phở)",画像,-,-,-,,,,,,
,,,,,,,,,,,,,,,,,5.0,"お気に入りボタン
Nút Yêu thích","画像右上のハートアイコン
Biểu tượng trái tim ở góc trên bên phải ảnh",ボタン,-,"クリック時、お気に入りリストに追加・削除する。
Khi nhấp vào, thêm/xóa khỏi danh sách yêu thích.","要ログイン
Yêu cầu đăng nhập",,,,,,
,,,,,,,,,,,,,,,,,6.0,"レストラン名と説明
Tên & Mô tả","「ハノイフォー」などのタイトルと説明文
Tên nhà hàng ""Phở Hà Nội"" và đoạn mô tả",ラベル,-,-,-,,,,,,
,,,,,,,,,,,,,,,,,7.0,"評価バッジ
Huy hiệu đánh giá","星マークと点数「4.5 (128件)」
Biểu tượng sao và điểm số ""4.5 (128件)""",ラベル,-,"クリック時、「レビュー」タブへスクロールし切り替える。
Khi nhấp vào, cuộn xuống và chuyển sang tab ""Đánh giá"".",-,,,,,,
,,,,,,,,,,,,,,,,,8.0,"店舗基本情報
Thông tin cơ bản","住所、電話番号、営業時間、価格帯
Địa chỉ, sđt, giờ mở cửa, khoảng giá",ラベル,-,-,"アイコン付き
Có kèm icon minh họa",,,,,,
,,,,,,,,,,,,,,,,,9.0,"レビュー記入ボタン
Nút Viết đánh giá","赤い「Write a Review」ボタン
Nút màu đỏ ""Write a Review""",ボタン,-,"クリック時、「レビュー投稿モーダル」をポップアップ表示する。未ログイン時はログインへ誘導。
Khi nhấp, hiển thị popup/modal form viết đánh giá. Yêu cầu đăng nhập.","要ログイン
Yêu cầu đăng nhập",,,,,,
,,,,,,,,,,,,,,,,,10.0,"タブナビゲーション
Thanh điều hướng Tab","メニュー、レビュー、詳細情報の切り替えタブ
Các tab Menu, Đánh giá, Thông tin chi tiết",タブ,"選択肢：メニュー、レビュー、詳細情報
Lựa chọn: Menu, Đánh giá, Chi tiết","クリック時、対応する下部のコンテンツエリアを表示する。
Khi nhấp vào, hiển thị nội dung tương ứng ở bên dưới.","アクティブなタブは赤線で強調
Tab đang chọn được gạch chân đỏ",,,,,,
,,,,,,,,,,,,,,,,,11.0,"レビューリスト
Danh sách đánh giá","ユーザー名、評価、投稿日、内容、写真のリスト
Danh sách gồm tên, điểm, ngày, nội dung, ảnh",リスト,-,"最新のレビューから順に表示する。
Hiển thị các đánh giá theo thứ tự mới nhất.",-,,,,,,
,,,,,,,,,,,,,,,,,12.0,"言語切り替えトグル
Nút chuyển ngôn ngữ","システムの表示言語を変更
Thay đổi ngôn ngữ hiển thị của hệ thống (nằm cạnh Logo)",トグルボタン,"JP / VN
(Tiếng Nhật / Tiếng Việt)","クリック時、選択された言語にシステム全体のテキスト表記を切り替える。状態をローカルストレージに保持する。
Khi click, cập nhật toàn bộ text trên hệ thống theo ngôn ngữ được chọn. Lưu trạng thái này vào Local Storage/Session.","デフォルトは「JP」
Mặc định là ""JP""",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,画面ID,,17.0,,画面タイトル,,"店舗情報編集画面（メニュー管理）
(Màn hình Chỉnh sửa thông tin quán – Thực đơn)",,,,,,ロールID,,2.0,,画面項目,,,,,,,,,,,,
,画面レイアウト・デザイン,,,,,,,,,,,,,,,,No,項目名称,項目説明,分類,選択肢・入力値,処理内容,備考,,,,,,
,,,,,,,,,,,,,,,,,1.0,"ヘッダーロゴ
Logo Header","サイト左上の「JVDine」ロゴ
Logo ""JVDine"" ở góc trên bên trái trang web",画像,-,"
画面初期表示時にロゴを表示。クリック時ホーム画面へ遷移。画像取得失敗時は代替画像表示。                                                            Khi load màn hình hiển thị logo, click về Home, lỗi ảnh → ảnh default
","すべてのデザイン情報：Link
Mọi thông tin Design: Link",,,,,,
,,,,,,,,,,,,,,,,,2.0,"ヘッダーナビゲーション
Điều hướng Header","「ダッシュボード」等の各機能へのリンク
Các link đến Dashboard, Sửa quán, Khuyến mãi",リンク,"選択肢：
・ダッシュボード
・店舗編集
・キャンペーン

Tùy chọn:
• Dashboard
• Sửa quán
• Khuyến mãi","クリック時、対応する管理画面へ遷移する。
Khi nhấp vào, chuyển hướng đến màn hình quản lý tương ứng.","現在のページ（ダッシュボード）は太字（アクティブ状態）で表示。

Trang hiện tại (Dashboard) in đậm.",,,,,,
,,,,,,,,,,,,,,,,,3.0,"ログアウトボタン
Nút Đăng xuất","右端の「ログアウト / Đăng xuất」ボタン
Nút ""Đăng xuất"" ở góc phải",ボタン,-,"クリック時、セッションを破棄し、一般ユーザー向けのホームページまたはログイン画面へ遷移する。
Khi nhấp vào, hủy session và chuyển hướng ra trang chủ hoặc trang Login.","ログアウト確認モーダルを出しても良い。

Có thể thêm popup xác nhận.",,,,,,
,,,,,,,,,,,,,,,,,4.0,"ページタイトル
Tiêu đề trang","「店舗情報を編集 / Sửa thông tin quán」と説明文
Tiêu đề và văn bản mô tả form",ラベル,-,"静的表示。
Hiển thị tĩnh.",-,,,,,,
,,,,,,,,,,,,,,,,,5.0,"タブ切り替え
Chuyển Tab","「基本情報」と「メニュー」タブ
Tab ""Thông tin cơ bản"" và ""Menu""",タブ,"選択肢：
・基本情報
・メニュー

Tùy chọn:
• Thông tin cơ bản
• Thực đơn","クリック時、該当する画面コンテンツに切り替える。

Khi click, chuyển đổi nội dung màn hình tương ứng.",-,,,,,,
,,,,,,,,,,,,,,,,,6.0,"セクションタイトル
Tiêu đề Section","「＋ 新しい料理を追加」
""+ Thêm món ăn mới""",ラベル,-,"静的表示。
Hiển thị tĩnh.",-,,,,,,
,,,,,,,,,,,,,,,,,7.0,"料理名（日・越）
Tên món (Nhật/Việt)","日本語とベトナム語の料理名入力欄
Ô nhập tên món bằng tiếng Nhật và Việt",テキストボックス,"入力値：文字列
Giá trị nhập: Chuỗi văn bản","入力フォーマットの制限なし。
Không giới hạn định dạng nhập.","必須項目。
Mục bắt buộc.",,,,,,
,,,,,,,,,,,,,,,,,8.0,"説明（日・越）
Mô tả (Nhật/Việt)","料理の詳細な説明を入力するエリア
Ô nhập mô tả chi tiết của món ăn",テキストボックス,"入力値：文字列
Giá trị nhập: Chuỗi văn bản","料理の成分や特徴を入力する。
Nhập thành phần hoặc đặc điểm món ăn.",-,,,,,,
,,,,,,,,,,,,,,,,,9.0,"価格 (VND)
Giá (VND)","料理の価格入力欄
Ô nhập giá món ăn",テキストボックス,"入力値：数値
Giá trị nhập: Số","入力時に数値のみ許可するバリデーションを行う。
Validate chỉ cho phép nhập số.","必須項目。
Mục bắt buộc.",,,,,,
,,,,,,,,,,,,,,,,,10.0,"カテゴリー
Danh mục","料理のカテゴリー入力/選択欄
Ô nhập/chọn danh mục món ăn",テキストボックス,"入力値：文字列
Giá trị nhập: Chuỗi văn bản","料理の分類（例：麺類、揚げ物など）を入力。
Nhập phân loại món ăn (VD: Món nước, đồ chiên...).","ドロップダウンにしても良い。
Có thể làm dạng Dropdown.",,,,,,
,,,,,,,,,,,,,,,,,11.0,"特別食材・アレルギーオプション
Tùy chọn thành phần đặc biệt / dị ứng","料理に含まれる注意が必要な食材や特徴を選択する項目。辛さの有無や、アレルギー・嗜好に関わる特別な食材情報を管理者が設定するために使用する。選択された内容は、料理情報の登録時または更新時に保存され、必要に応じて一覧画面や詳細画面にタグとして表示する。
Mục dùng để chọn các thành phần hoặc đặc điểm cần lưu ý của món ăn. Quản trị viên sử dụng mục này để thiết lập các thông tin như món có cay hay không, hoặc có chứa các thành phần đặc biệt liên quan đến dị ứng hay khẩu vị của người dùng. Nội dung được chọn sẽ được lưu khi thêm mới hoặc cập nhật món ăn, và khi cần có thể hiển thị dưới dạng tag ở màn hình danh sách hoặc màn hình chi tiết.",チェックボックス,"選択肢：
・辛い
・マム（エビペースト）
・ピーナッツ
・シーフード

Tùy chọn:
・Cay
・Mắm (paste tôm)
・Đậu phộng
・Hải sản","該当する項目を1つ以上選択できる。複数選択可。料理登録時、選択されたオプションを料理データに紐づけて保存する。編集時は保存済みの選択状態を再表示する。未選択の場合は特別な食材情報なしとして扱う。
Người dùng có thể chọn một hoặc nhiều mục phù hợp. Hệ thống cho phép chọn nhiều lựa chọn cùng lúc. Khi đăng ký món ăn, các option đã chọn sẽ được lưu kèm với dữ liệu món ăn. Khi sửa món, hệ thống hiển thị lại các lựa chọn đã lưu trước đó. Nếu không chọn mục nào thì hiểu là món không có thông tin thành phần đặc biệt cần lưu ý.","任意項目。必要に応じて、料理一覧画面や料理詳細画面でアイコンまたはタグとして表示しても良い。
Mục không bắt buộc. Khi cần, có thể hiển thị ở màn hình danh sách món ăn hoặc màn hình chi tiết dưới dạng icon hoặc tag.",,,,,,
,,,,,,,,,,,,,,,,,12.0,"追加ボタン
Nút Thêm","青い「＋ 追加」ボタン
Nút màu xanh ""+ Thêm""",ボタン,-,"クリック時、バリデーションを行い、下のリストに料理を追加する。
Khi click, validate dữ liệu và thêm món ăn vào danh sách bên dưới.",-,,,,,,
